ISO букв.,Валюта,ISO цифр.,число разрядов
AED,Дирхам,784,2
AFN,Афгани,971,2
ALL,Лек,8,2
AMD,Армянский драм,51,2
ANG,Нидерландский антильский гульден,532,2
AOA,Кванза,973,2
ARS,Аргентинское песо,32,2
AUD,Австралийский доллар,36,2
AWG,Арубанский флорин,533,2
AZN,Азербайджанский манат,944,2
BAM,Конвертируемая марка,977,2
BBD,Барбадосский доллар,52,2
BDT,Така,50,2
BGN,Лев,975,2
BHD,Бахрейнский динар,48,3
BIF,Бурундийский франк,108,0
BMD,Бермудский доллар,60,2
BND,Брунейский доллар,96,2
BOB,Боливиано,68,2
BRL,Бразильский реал,986,2
BSD,Багамский доллар,44,2
BTN,Нгултрум,64,2
BWP,Пула,72,2
BYR,Белорусский рубль,974,0
BZD,Белизский доллар,84,2
CAD,Канадский доллар,124,2
CDF,Конголезский франк,976,2
CHF,Швейцарский франк,756,2
CLP,Чилийское песо,152,0
CNY,Юань жэньминьби,156,2
COP,Колумбийское песо,170,2
CRC,Костариканский колон,188,2
CUP,Кубинское песо,192,2
CVE,Эскудо Кабо-Верде,132,2
CZK,Чешская крона,203,2
DJF,Франк Джибути,262,0
DKK,Датская крона,208,2
DOP,Доминиканское песо,214,2
DZD,Алжирский динар,12,2
EEK,Эстонская крона,233,2
EGP,Египетский фунт,818,2
ERN,Накфа,232,2
ETB,Эфиопский быр,230,2
EUR,Евро,978,2
FJD,Доллар Фиджи,242,2
FKP,Фунт Фолклендских островов,238,2
GBP,Фунт стерлингов,826,2
GEL,Лари,981,2
GHS,Седи,936,2
GIP,Гибралтарский фунт,292,2
GMD,Даласи,270,2
GNF,Гвинейский франк,324,0
GTQ,Кетсаль,320,2
GYD,Гайанский доллар,328,2
HKD,Гонконгский доллар,344,2
HNL,Лемпира,340,2
HRK,Куна,191,2
HTG,Гурд,332,2
HUF,Форинт,348,2
IDR,Рупия,360,2
ILS,Новый израильский шекель,376,2
INR,Индийская рупия,356,2
IQD,Иракский динар,368,3
IRR,Иранский риал,364,2
ISK,Исландская крона,352,2
JMD,Ямайский доллар,388,2
JOD,Иорданский динар,400,3
JPY,Иена,392,0
KES,Кенийский шиллинг,404,2
KGS,Сом,417,2
KHR,Риель,116,2
KMF,Франк Комор,174,0
KPW,Северо-корейская вона,408,2
KRW,Вона,410,0
KWD,Кувейтский динар,414,3
KYD,Доллар Каймановых островов,136,2
KZT,Тенге,398,2
LAK,Кип,418,2
LBP,Ливанский фунт,422,2
LKR,Шри-Ланкийская рупия,144,2
LRD,Либерийский доллар,430,2
LSL,Лоти,426,2
LTL,Литовский лит,440,2
LVL,Латвийский лат,428,2
LYD,Ливийский динар,434,3
MAD,Марокканский дирхам,504,2
MDL,Молдавский лей,498,2
MGA,Малагасийский ариари,969,0
MKD,Динар,807,2
MMK,Кьят,104,2
MNT,Тугрик,496,2
MOP,Патака,446,2
MRO,Угия,478,2
MUR,Маврикийская рупия,480,2
MVR,Руфия,462,2
MWK,Квача,454,2
MXN,Мексиканское песо,484,2
MYR,Малайзийский ринггит,458,2
MZN,Метикал,943,2
NAD,Доллар Намибии,516,2
NGN,Найра,566,2
NIO,Золотая кордоба,558,2
NOK,Норвежская крона,578,2
NPR,Непальская рупия,524,2
NZD,Новозеландский доллар,554,2
OMR,Оманский риал,512,3
PAB,Бальбоа,590,2
PEN,Новый соль,604,2
PGK,Кина,598,2
PHP,Филиппинское песо,608,2
PKR,Пакистанская рупия,586,2
PLN,Злотый,985,2
PYG,Гуарани,600,0
QAR,Катарский риал,634,2
RON,Румынский лей,946,2
RSD,Сербский динар,941,2
RUB,Российский рубль,643,2
RWF,Франк Руанды,646,0
SAR,Саудовский риял,682,2
SBD,Доллар Соломоновых Островов,90,2
SCR,Сейшельская рупия,690,2
SDG,Суданский фунт,938,2
SEK,Шведская крона,752,2
SGD,Сингапурский доллар,702,2
SHP,Фунт Острова Святой Елены,654,2
SLL,Леоне,694,2
SOS,Сомалийский шиллинг,706,2
SRD,Суринамский доллар,968,2
STD,Добра,678,2
SYP,Сирийский фунт,760,2
SZL,Лилангени,748,2
THB,Бат,764,2
TJS,Сомони,972,2
TMT,Новый манат,934,2
TND,Тунисский динар,788,3
TOP,Паанга,776,2
TRY,Турецкая лира,949,2
TTD,Доллар Тринидада и Тобаго,780,2
TWD,Тайваньский доллар,901,2
TZS,Танзанийский шиллинг,834,2
UAH,Гривна,980,2
UGX,Угандийский шиллинг,800,2
USD,Доллар США,840,2
UYI,Уругвайское песо в индексированных единицах,940,2
UYU,Уругвайское песо,858,2
UZS,Узбекский сум,860,2
VEF,Боливар фуэрте,937,2
VND,Донг,704,2
VUV,Вату,548,0
WST,Тала,882,2
XAF,Франк КФА ВЕАС,950,0
XAG,Тройская унция серебра,961,
XAU,Тройская унция золота,959,
XBA,EURCO,955,
XBB,EMU-6,956,
XBC,EUA-9,957,
XBD,EUA-17,958,
XCD,Восточно-карибский доллар,951,2
XDR,СДР,960,
XFO,Франк золотой,,
XFU,Франк ЮИК,,
XOF,Франк КФА ВСЕАО,952,0
XPD,Тройская унция палладия,964,
XPF,Франк КФП,953,0
XPT,Тройская унция платины,962,
XTS,Код для тестовых целей,963,
XXX,Отсутствие валюты,999,
YER,Йеменский риал,886,2
ZAR,Рэнд,710,2
ZMK,Замбийская квача,894,2
ZWL,Доллар Зимбабве,932,2
