ISO букв.;Валюта
AED;Дирхам
AFN;Афгани
ALL;Лек
AMD;Армянский драм
ANG;Нидерландский антильский гульден
AOA;Кванза
ARS;Аргентинское песо
AUD;Австралийский доллар
AWG;Арубанский флорин
AZN;Азербайджанский манат
BAM;Конвертируемая марка
BBD;Барбадосский доллар
BDT;Така
BGN;Лев
BHD;Бахрейнский динар
BIF;Бурундийский франк
BMD;Бермудский доллар
BND;Брунейский доллар
BOB;Боливиано
BRL;Бразильский реал
BSD;Багамский доллар
BTN;Нгултрум
BWP;Пула
BYR;Белорусский рубль
BZD;Белизский доллар
CAD;Канадский доллар
CDF;Конголезский франк
CHF;Швейцарский франк
CLP;Чилийское песо
CNY;Юань жэньминьби
COP;Колумбийское песо
CRC;Костариканский колон
CUP;Кубинское песо
CVE;Эскудо Кабо-Верде
CZK;Чешская крона
DJF;Франк Джибути
DKK;Датская крона
DOP;Доминиканское песо
DZD;Алжирский динар
EGP;Египетский фунт
ERN;Накфа
ETB;Эфиопский быр
EUR;Евро
FJD;Доллар Фиджи
FKP;Фунт Фолклендских островов
GBP;Фунт стерлингов
GEL;Лари
GHS;Седи
GIP;Гибралтарский фунт
GMD;Даласи
GNF;Гвинейский франк
GTQ;Кетсаль
GYD;Гайанский доллар
HKD;Гонконгский доллар
HNL;Лемпира
HRK;Куна
HTG;Гурд
HUF;Форинт
IDR;Рупия
ILS;Новый израильский шекель
INR;Индийская рупия
IQD;Иракский динар
IRR;Иранский риал
ISK;Исландская крона
JMD;Ямайский доллар
JOD;Иорданский динар
JPY;Иена
KES;Кенийский шиллинг
KGS;Сом
KHR;Риель
KMF;Франк Комор
KPW;Северо-корейская вона
KRW;Вона
KWD;Кувейтский динар
KYD;Доллар Каймановых островов
KZT;Тенге
LAK;Кип
LBP;Ливанский фунт
LKR;Шри-Ланкийская рупия
LRD;Либерийский доллар
LSL;Лоти
LTL;Литовский лит
LVL;Латвийский лат
LYD;Ливийский динар
MAD;Марокканский дирхам
MDL;Молдавский лей
MGA;Малагасийский ариари
MKD;Динар
MMK;Кьят
MNT;Тугрик
MOP;Патака
MRO;Угия
MUR;Маврикийская рупия
MVR;Руфия
MWK;Квача
MXN;Мексиканское песо
MYR;Малайзийский ринггит
MZN;Метикал
NAD;Доллар Намибии
NGN;Найра
NIO;Золотая кордоба
NOK;Норвежская крона
NPR;Непальская рупия
NZD;Новозеландский доллар
OMR;Оманский риал
PAB;Бальбоа
PEN;Новый соль
PGK;Кина
PHP;Филиппинское песо
PKR;Пакистанская рупия
PLN;Злотый
PYG;Гуарани
QAR;Катарский риал
RON;Румынский лей
RSD;Сербский динар
RUB;Российский рубль
RWF;Франк Руанды
SAR;Саудовский риял
SBD;Доллар Соломоновых Островов
SCR;Сейшельская рупия
SDG;Суданский фунт
SEK;Шведская крона
SGD;Сингапурский доллар
SHP;Фунт Острова Святой Елены
SLL;Леоне
SOS;Сомалийский шиллинг
SRD;Суринамский доллар
STD;Добра
SYP;Сирийский фунт
SZL;Лилангени
THB;Бат
TJS;Сомони
TMT;Новый манат
TND;Тунисский динар
TOP;Паанга
TRY;Турецкая лира
TTD;Доллар Тринидада и Тобаго
TWD;Тайваньский доллар
TZS;Танзанийский шиллинг
UAH;Гривна
UGX;Угандийский шиллинг
USD;Доллар США
UYI;Уругвайское песо в индексированных единицах
UYU;Уругвайское песо
UZS;Узбекский сум
VEF;Боливар фуэрте
VND;Донг
VUV;Вату
WST;Тала
XAF;Франк КФА ВЕАС
XAG;Тройская унция серебра
XAU;Тройская унция золота
XBA;EURCO
XBB;EMU-6
XBC;EUA-9
XBD;EUA-17
XCD;Восточно-карибский доллар
XDR;СДР
XFU;Франк ЮИК
XOF;Франк КФА ВСЕАО
XPD;Тройская унция палладия
XPF;Франк КФП
XPT;Тройская унция платины
XTS;Код для тестовых целей
XXX;Отсутствие валюты
YER;Йеменский риал
ZAR;Рэнд
ZMK;Замбийская квача
ZWL;Доллар Зимбабве
